Valve Characterization 11/03/19 12:20 PM
STEPPER MOTOR POSITION(STEPS FROM CLOSED) , PRESSURE TRANSDUCER READING (RAW)

12:12:55.174 -> 0,260
12:12:55.174 -> 0,260
12:12:55.174 -> 0,260
12:12:55.174 -> 0,260
12:12:55.174 -> 0,259
12:12:55.276 -> 0,261
12:12:55.276 -> 0,260
12:12:55.276 -> 0,261
12:12:55.276 -> 0,262
12:12:55.348 -> 0,261
12:12:55.348 -> 0,260
12:12:55.348 -> 0,260
12:12:55.348 -> 0,260
12:12:55.348 -> 0,261
12:12:55.452 -> 0,262
12:12:55.452 -> 0,260
12:12:55.452 -> 0,260
12:12:55.452 -> 0,260
12:12:55.555 -> 0,260
12:12:55.555 -> 0,261
12:12:55.555 -> 0,261
12:12:55.555 -> 0,261
12:12:55.555 -> 0,261
12:12:55.631 -> 0,263
12:12:55.631 -> 0,260
12:12:55.631 -> 0,259
12:12:55.631 -> 0,261
12:12:55.631 -> 0,261
12:12:55.732 -> 0,261
12:12:55.732 -> 0,261
12:12:55.732 -> 0,261
12:12:55.732 -> 0,261
12:12:55.843 -> 0,260
12:12:55.843 -> 0,261
12:12:55.843 -> 0,261
12:12:55.843 -> 0,261
12:12:55.843 -> 0,261
12:12:55.915 -> 0,261
12:12:55.915 -> 0,262
12:12:55.915 -> 0,261
12:12:55.915 -> 0,260
12:12:56.019 -> 0,261
12:12:56.019 -> 0,261
12:12:56.019 -> 0,262
12:12:56.019 -> 0,261
12:12:56.019 -> 0,262
12:12:56.091 -> 0,258
12:12:56.091 -> 0,260
12:12:56.091 -> 0,262
12:12:56.091 -> 0,260
12:12:56.199 -> 0,261
12:12:56.199 -> 0,259
12:12:56.199 -> 0,261
12:12:56.199 -> 0,262
12:12:56.199 -> 0,261
12:12:56.270 -> 0,260
12:12:56.270 -> 0,259
12:12:56.270 -> 0,261
12:12:56.270 -> 0,261
12:12:56.270 -> 0,260
12:12:56.376 -> 0,261
12:12:56.376 -> 0,260
12:12:56.376 -> 0,260
12:12:56.376 -> 0,261
12:12:56.480 -> 0,261
12:12:56.480 -> 0,260
12:12:56.480 -> 0,260
12:12:56.480 -> 0,260
12:12:56.480 -> 0,261
12:12:56.550 -> 0,260
12:12:56.550 -> 0,261
12:12:56.550 -> 0,259
12:12:56.550 -> 0,260
12:12:56.655 -> 0,262
12:12:56.655 -> 0,261
12:12:56.655 -> 0,262
12:12:56.655 -> 0,259
12:12:56.655 -> 0,260
12:12:56.724 -> 0,261
12:12:56.724 -> 0,262
12:12:56.724 -> 0,260
12:12:56.724 -> 0,261
12:12:56.834 -> 0,261
12:12:56.834 -> 0,262
12:12:56.834 -> 0,260
12:12:56.834 -> 0,260
12:12:56.834 -> 0,259
12:12:56.935 -> 0,261
12:12:56.935 -> 0,261
12:12:56.935 -> 0,262
12:12:56.935 -> 0,261
12:12:56.935 -> 0,259
12:12:57.006 -> 0,261
12:12:57.006 -> 0,261
12:12:57.006 -> 0,262
12:12:57.006 -> 0,262
12:12:57.114 -> 0,261
12:12:57.114 -> 0,262
12:12:57.114 -> 0,261
12:12:57.114 -> 0,260
12:12:57.114 -> 0,261
12:12:57.185 -> 0,260
12:12:57.185 -> 0,261
12:12:57.185 -> 0,262
12:12:57.185 -> 0,262
12:12:57.291 -> 0,261
12:12:57.291 -> 0,260
12:12:57.291 -> 0,261
12:12:57.291 -> 0,261
12:12:57.291 -> 0,262
12:12:57.361 -> 0,261
12:12:57.361 -> 0,261
12:12:57.361 -> 0,261
12:12:57.361 -> 0,262
12:12:57.467 -> 0,262
12:12:57.467 -> 0,261
12:12:57.467 -> 0,261
12:12:57.467 -> 0,262
12:12:57.467 -> 0,262
12:12:57.574 -> 0,262
12:12:57.574 -> 0,262
12:12:57.574 -> 0,260
12:12:57.574 -> 0,260
12:12:57.574 -> 0,261
12:12:57.649 -> 0,261
12:12:57.649 -> 0,261
12:12:57.649 -> 0,260
12:12:57.649 -> 0,262
12:12:57.752 -> 0,261
12:12:57.752 -> 0,261
12:12:57.752 -> 0,260
12:12:57.752 -> 0,262
12:12:57.752 -> 0,263
12:12:57.821 -> 0,262
12:12:57.821 -> 0,263
12:12:57.821 -> 0,262
12:12:57.821 -> 0,261
12:12:57.925 -> 0,261
12:12:57.925 -> 0,261
12:12:57.925 -> 0,261
12:12:57.925 -> 0,261
12:12:57.925 -> 0,260
12:12:57.994 -> 0,261
12:12:57.994 -> 0,261
12:12:57.994 -> 0,261
12:12:57.994 -> 0,259
12:12:58.099 -> 0,260
12:12:58.099 -> 0,261
12:12:58.099 -> 0,261
12:12:58.099 -> 0,263
12:12:58.099 -> 0,260
12:12:58.204 -> 0,260
12:12:58.204 -> 0,261
12:12:58.204 -> 0,262
12:12:58.204 -> 0,262
12:12:58.204 -> 0,261
12:12:58.275 -> 0,260
