raw,actual(psi)
202, 113
210, 155
209, 151
217, 206
219, 216
225, 256
230, 282
231, 300
235, 327
240, 352
243, 382
247, 401
250, 418
253, 451
259, 473
262, 501
266, 522
271, 550
275, 588
278, 604
284, 638
286, 652
290, 683
295, 713
300, 743
304, 778
310, 819
317, 863
325, 908
330, 943
339, 1000
345, 1061
353, 1100
361, 1153
373, 1233
375, 1250
384, 1312
390, 1335
392, 1350
395, 1376
399, 1400
403, 1435
407, 1460
414, 1505
419, 1530
422, 1561
426, 1580
460, 1600
438, 1648
442, 1680
446, 1708
453, 1749
459, 1792
462, 1816
469, 1859
476, 1914
483, 1954
491, 2005
499, 2055
507, 2115
514, 2160
521, 2203
529, 2254
538, 2320
544, 2360
551, 2407
559, 2454
567, 2505
573, 2553
582, 2612
590, 2659
598, 2718
607, 2770
610, 2800
619, 2858
627, 2910
634, 2955
642, 3017
649, 3060
656, 3101
649, 3054
660, 3118
665, 3160
672, 3205
678, 3250
687, 3299
693, 3352
700, 3393
708, 3440
712, 3470
717, 3502
724, 3551
728, 3577
734, 3609
737, 3639
742, 3664
750, 3712
754, 3742
757, 3765
762, 3805
768, 3843
775, 3879
778, 3910
782, 3935
787, 3967
792, 4003
797, 4035
801, 4063
807, 4103
813, 4142
816, 4168
821, 4202
828, 4243
832, 4267
837, 4301
841, 4334
846, 4364
852, 4403
856, 4431
861, 4464
865, 4495










