time,altitude,pressure,temperature,in-flight,ejection fired,backup fire,accel (x),accel (y),accel (z),rot.spd.xyz,,,,Acceleration
538,671,27979,27,0,0,0,-4.2,0.37,8.68,-0.66,-4.18,-1.05,1,9.649834195
633,671,27983,27,0,0,0,-2.5,0.37,8.95,-5.47,27.55,-4.14,2,9.299967742
711,670,27986,27,0,0,0,-5.26,0.03,8.22,0.51,-9.62,-1.63,3,9.758939492
789,670,27987,27,0,0,0,-3.13,0.57,8.57,-1.66,2.27,-5.08,4,9.141482374
868,671,27988,27,0,0,0,-5.02,0.2,8.59,-1.42,2.51,-1.75,5,9.951306447
946,671,27986,27,0,0,0,-4.19,0.25,8.73,1.92,-19.92,-2.85,6,9.686666093
1024,670,27984,27,0,0,0,-3.71,0.45,8.77,0.11,-8.81,-1.42,7,9.533074006
1102,670,27988,27,0,0,0,-3.92,0.48,8.68,-2.01,6.95,-1.75,8,9.536204696
1180,670,27987,27,0,0,0,-4.41,0.4,8.68,-1.6,4.23,-1.5,9,9.744254718
1265,670,27981,27,0,0,0,-4.22,0.35,8.59,-0.45,-4.94,-1.21,10,9.577003707
1343,670,27987,27,0,0,0,-4.06,0.39,8.69,-0.83,-1.06,-1.27,11,9.599572907
1421,670,27993,27,0,0,0,-4.19,0.37,8.59,-1.19,2.25,-1.46,12,9.564575265
1585,671,27986,27,0,0,0,-4.14,0.35,8.73,-0.93,-0.85,-1.2,13,9.668246997
1680,670,27985,27,0,0,0,-4.17,0.34,8.69,-1.24,0.32,-1.38,14,9.644718762
1758,670,27989,27,0,0,0,-4.21,0.3,8.58,-0.7,-1.02,-1.33,15,9.561929722
1836,670,27984,27,0,0,0,-4.15,0.32,8.75,-0.97,0.02,-1.3,16,9.689551073
1914,670,27990,27,0,0,0,-4.22,0.38,8.65,-1.17,0.26,-1.33,17,9.631993563
1992,670,27991,27,0,0,0,-4.2,0.41,8.68,-1.01,-0.83,-1.45,18,9.651450668
2073,671,27991,27,0,0,0,-4.17,0.34,8.55,-1.19,0,-1.35,19,9.518770929
2152,670,27992,27,0,0,0,-4.21,0.39,8.67,-0.99,0.27,-1.33,20,9.645988804
2230,670,27989,27,0,0,0,-4.2,0.37,8.74,-1.12,-0.53,-1.58,21,9.703839446
2308,670,27991,27,0,0,0,-4.19,0.35,8.77,-1.16,-0.24,-1.42,22,9.725816161
2386,670,27990,27,0,0,0,-4.2,0.38,8.57,-0.93,-0.11,-1.24,23,9.551403038
2464,670,27990,27,0,0,0,-4.22,0.34,8.67,-1.09,-0.56,-1.16,24,9.648466199
2628,670,27992,27,0,0,0,-4.17,0.42,8.63,-0.94,-0.33,-1.25,25,9.593862621
2724,670,27993,27,0,0,0,-4.17,0.37,8.71,-0.94,-0.11,-1.37,26,9.66384499
2803,670,27993,27,0,0,0,-4.22,0.4,8.64,-1.07,-0.25,-1.53,27,9.623824604
2884,670,27995,27,0,0,0,-4.23,0.41,8.67,-0.91,-0.7,-1.53,28,9.655563163
2962,671,27990,27,0,0,0,-4.22,0.34,8.75,-1.16,0.02,-1.22,29,9.720416658
3041,670,27986,27,0,0,0,-4.22,0.39,8.66,-0.89,-0.27,-1.34,30,9.641374383
3119,670,27986,27,0,0,0,-4.2,0.38,8.72,-1.05,-0.21,-1.42,31,9.686217012
3196,670,27994,27,0,0,0,-4.28,0.36,8.67,-1.03,-0.08,-1.08,32,9.67558267
3275,670,27992,27,0,0,0,-4.12,0.32,8.71,-0.86,-0.27,-1.34,33,9.640586082
3353,670,27983,27,0,0,0,-4.2,0.39,8.57,-0.92,-0.3,-1.44,34,9.551806112
3431,670,27996,27,0,0,0,-4.13,0.31,8.68,-0.92,-0.37,-1.4,35,9.617452885
3510,670,27988,27,0,0,0,-4.18,0.43,8.64,-0.75,-0.4,-1.27,36,9.607647995
3684,670,27995,27,0,0,0,-4.14,0.35,8.63,-1.18,-0.25,-1.52,37,9.578047818
3779,670,27999,27,0,0,0,-4.19,0.41,8.67,-0.95,-0.46,-1.42,38,9.638106661
3858,669,27997,27,0,0,0,-4.19,0.34,8.73,-1.03,-0.32,-1.42,39,9.689406587
3936,669,27992,27,0,0,0,-4.19,0.37,8.65,-1.14,-0.13,-1.28,40,9.618497804
4014,669,27997,27,0,0,0,-4.25,0.36,8.65,-0.85,-0.63,-1.45,41,9.644407706
4092,669,27999,27,0,0,0,-4.14,0.35,8.64,-1.03,-0.14,-1.32,42,9.587058986
4170,669,28003,27,0,0,0,-4.24,0.35,8.65,-1.01,-0.41,-1.22,43,9.639636923
4248,669,27998,27,0,0,0,-4.18,0.36,8.62,-0.98,-0.11,-1.21,44,9.586782568
4330,669,28000,27,0,0,0,-4.21,0.4,8.69,-0.94,0.08,-1.33,45,9.66437789
4408,669,28001,27,0,0,0,-4.2,0.35,8.61,-1.03,-0.63,-1.49,46,9.586167117
4487,670,28000,27,0,0,0,-4.2,0.38,8.73,-1.01,-0.55,-1.23,47,9.695220472
4564,670,27999,27,0,0,0,-4.22,0.35,8.67,-1.1,-0.56,-1.49,48,9.648823763
4728,670,27990,27,0,0,0,-4.18,0.4,8.75,-1.03,-0.17,-1.44,49,9.70540571
4825,670,27999,27,0,0,0,-4.23,0.35,8.62,-0.94,-0.51,-1.37,50,9.608319312
4903,670,27998,27,0,0,0,-4.15,0.36,8.67,-0.96,-0.03,-1.27,51,9.618783707
4981,670,27997,27,0,0,0,-4.16,0.34,8.67,-1.12,-0.38,-1.33,52,9.622374967
5059,669,28000,27,0,0,0,-4.15,0.43,8.67,-0.89,-0.32,-1.21,53,9.621657861
