// up to max 1900 psi, opened motor fully and then started measuring pressure.
14:07:03.756 -> 0,0
14:07:03.792 -> 0,0
14:07:03.792 -> 0,0
14:07:03.828 -> 0,5
14:07:03.828 -> 0,0
14:07:03.864 -> 0,0
14:07:03.864 -> 0,7
14:07:03.900 -> 0,1
14:07:03.900 -> 0,0
14:07:03.937 -> 0,6
14:07:03.973 -> 0,1
14:07:03.973 -> 0,0
14:07:04.009 -> 0,1
14:07:04.009 -> 0,1
14:07:04.045 -> 0,0
14:07:04.045 -> 0,0
14:07:04.080 -> 0,3
14:07:04.080 -> 0,0
14:07:04.117 -> 0,0
14:07:04.152 -> 0,2
14:07:04.152 -> 0,0
14:07:04.189 -> 0,0
14:07:04.189 -> 0,3
14:07:04.225 -> 0,3
14:07:04.225 -> 0,0
14:07:04.260 -> 0,0
14:07:04.260 -> 0,9
14:07:04.297 -> 0,0
14:07:04.333 -> 0,0
14:07:04.333 -> 0,6
14:07:04.369 -> 0,0
14:07:04.369 -> 0,1
14:07:04.405 -> 0,3
14:07:04.405 -> 0,0
14:07:04.441 -> 0,0
14:07:04.441 -> 0,2
14:07:04.477 -> 0,0
14:07:04.513 -> 0,0
14:07:04.513 -> 0,0
14:07:04.549 -> 0,6
14:07:04.549 -> 0,0
14:07:04.585 -> 0,0
14:07:04.585 -> 0,6
14:07:04.618 -> 0,1
14:07:04.655 -> 0,0
14:07:04.655 -> 0,0
14:07:04.691 -> 0,0
14:07:04.691 -> 0,0
14:07:04.724 -> 0,0
14:07:04.724 -> 0,3
14:07:04.760 -> 0,4
14:07:04.760 -> 0,0
14:07:04.796 -> 0,0
14:07:04.832 -> 0,7
14:07:04.832 -> 0,0
14:07:04.869 -> 0,0
14:07:04.869 -> 0,1
14:07:04.905 -> 0,0
14:07:04.905 -> 0,0
14:07:04.941 -> 0,0
14:07:04.941 -> 0,6
14:07:04.974 -> 0,0
14:07:05.010 -> 0,3
14:07:05.010 -> 0,8
14:07:05.046 -> 0,0
14:07:05.046 -> 0,0
14:07:05.082 -> 0,3
14:07:05.082 -> 0,0
14:07:05.118 -> 0,0
14:07:05.154 -> 0,0
14:07:05.154 -> 0,0
14:07:05.190 -> 0,0
14:07:05.190 -> 0,0
14:07:05.226 -> 0,4
14:07:05.226 -> 0,3
14:07:05.262 -> 0,0
14:07:05.262 -> 0,1
14:07:05.298 -> 0,9
14:07:05.334 -> 0,0
14:07:05.334 -> 0,0
14:07:05.370 -> 0,4
14:07:05.370 -> 0,0
14:07:05.406 -> 0,0
14:07:05.406 -> 0,0
14:07:05.442 -> 0,6
14:07:05.442 -> 0,1
14:07:05.478 -> 0,0
14:07:05.514 -> 0,4
14:07:05.514 -> 0,3
14:07:05.550 -> 0,0
